Element Name,Element Description,Source Name,Source Table Name,Data Type,Length,List of Values,Security Classification,Archived
accessLevel,"The degree to which this data set could be made publicly-available, regardless of whether it has been made available. Choices: Public (Asset is or could be made publicly available to all without restrictions), Restricted Public (Asset is available under certain use restrictions), or Non-Public (Asset is not available to members of the public).",N/A,dataassets,text,,"Public, Restricted Public, Non-Public",Public,No
description,Human-readable description (e.g. an abstract) with sufficient detail to enable a user to quickly understand whether the asset is of interest.,N/A,dataassets,text,4000,,Public,No
dhDataTypes,"Internal field for linking data assets to configured ""data types"".",N/A,dataassets,list(text),,,Private,No
dhId,Internal unique identifier field for the data asset.,N/A,dataassets,text,,,Private,No
dhLastUpdate,Internal field for tracking the timestamp at which this data asset  entry was last updated in the database.,N/A,dataassets,datetime,,,Private,No
dhProjects,"Internal field for linking data assets to configured ""projects"".",N/A,dataassets,list(text),,,Private,No
dhSourceName,Internal field for tracking the source platform of the data asset.,N/A,dataassets,text,,,Private,No
dhType,Internal field for tracking the data asset type.,N/A,dataassets,text,,Dataset,Private,No
id,A unique identifier for the asset or API as maintained within an Agency catalog or database. ,N/A,dataassets,text,,,Public,No
tags,Tags (or keywords) that help users discover the data asset. ,N/A,dataassets,list(text),,,Public,No
lastUpdate,"Most recent date on which the asset was changed, updated or modified.",N/A,dataassets,datetime,,,Public,No
name,Human-readable name of the data asset. Must be in plain English and include sufficient detail to facilitate search and discovery.,N/A,dataassets,text,,,Public,No
metrics.downloadsTotal,Internal field for tracking the total download count of the data asset from their source platform.,N/A,dataassets,integer,,,Private,No
metrics.pageViewsLastMonth,Internal field for tracking the number of page views within the last 30 days on the data asset's source platform.,N/A,dataassets,integer,,,Private,No
merics.pageViewsTotal,Internal field for tracking the total page views on the data asset's source platform.,N/A,dataassets,integer,,,Private,No
sourceUrl,URL link to the data asset.,N/A,dataassets,text,,,Public,No
dataTypes.description,"Internal field for configuring a ""data type"" entry's description.",N/A,configurations,text,,,Private,No
dataTypes.id,"Internal unique identifier field for a configured ""data type"" entry.",N/A,configurations,text,,,Private,No
dataTypes.isEnabled,"Internal field for configuring if a ""data type"" entry is enabled.",N/A,configurations,boolean,,,Private,No
dataTypes.lastModified,"Internal field for tracking the timestamp at which a ""data type"" entry is last modified.",N/A,configurations,datetime,,,Private,No
dataTypes.name,"Internal field for configuring a ""data type"" entry's name.",N/A,configurations,text,,,Private,No
engagementPopups.content,"Internal field for configuring an ""engagement pop up"" entry's content.",N/A,configurations,text,,,Private,No
engagementPopups.controlsColor,"Internal field for configuring the color of button controls of an ""engagement pop up"" entry.",N/A,configurations,text,,,Private,No
engagementPopups.controlsShadow,"Internal field for configuring the shadows of button controls of an ""engagement pop up"" entry.",N/A,configurations,text,,,Private,No
engagementPopups.description,"Internal field for configuring an ""engagement pop up"" entry's description.",N/A,configurations,text,,,Private,No
engagementPopups.id,"Internal unique identifier field for a configured ""engagement pop up"" entry.",N/A,configurations,text,,,Private,No
engagementPopups.isActive,"Internal field for configuring if an ""engagement pop up"" entry is active.",N/A,configurations,boolean,,,Private,No
engagementPopups.lastModified,"Internal field for tracking the timestamp at which an ""engagement pop up"" entry is last modified.",N/A,configurations,datetime,,,Private,No
engagementPopups.name,"Internal field for configuring an ""engagement pop up"" entry's name.",N/A,configurations,text,,,Private,No
id,The unique identifier of the ITS DataHub configuration entry.,N/A,configurations,text,,,Private,No
name,The name of the ITS DataHub configuration entry.,N/A,configurations,text,,,Private,No
projects.description,"Internal field for configuring a ""project"" entry's description.",N/A,configurations,text,,,Private,No
projects.id,"Internal unique identifier field for a configured ""project"" entry.",N/A,configurations,text,,,Private,No
projects.imageFileName,"Internal field for configuring a ""project"" entry's image file name.",N/A,configurations,text,,,Private,No
projects.isEnabled,"Internal field for configuring if a ""project"" entry is enabled.",N/A,configurations,boolean,,,Private,No
projects.isPopular,"Internal field for tracking if a ""project"" entry is popular.",N/A,configurations,boolean,,,Private,No
projects.lastModified,"Internal field for tracking the timestamp at which a ""project"" entry is last modified.",N/A,configurations,datetime,,,Private,No
projects.name,"Internal field for configuring a ""project"" entry's name.",N/A,configurations,text,,,Private,No
projects.orderPopular,"Internal field for configuring a ""project"" entry's sequential popularity.",N/A,configurations,integer,,,Private,No
